company_id,ticker,legal_name,transaction_type,announcement_date,closing_date,amount_raised_m,equity_debt,transaction_structure,valuation_pre_m,valuation_post_m,use_of_proceeds,lead_investors,strategic_investors,dilution_pct,share_price,shares_issued_m,interest_rate,maturity_date,notes
COMP-001,EOSE,Eos Energy Enterprises Inc,SPAC Merger,2020-09-08,2020-11-16,Not Disclosed,Equity,B. Riley Principal Merger Corp II,Not Disclosed,550.0,Manufacturing expansion,B. Riley Financial,B. Riley Financial,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,EOSE began trading on NASDAQ 2020-11-17
COMP-001,EOSE,Eos Energy Enterprises Inc,Strategic Investment,2024-06-21,2024-06-21,315.5,Debt,Delayed Draw Term Loan + Revolver,Not Disclosed,Not Disclosed,Growth capital; Manufacturing expansion,Cerberus Capital Management,Cerberus Capital Management,Not Disclosed,N/A,N/A,Not Disclosed,Not Disclosed,$210.5M term loan + $105M revolver; milestone-based drawdowns
COMP-001,EOSE,Eos Energy Enterprises Inc,DOE Loan Guarantee,2023-08-15,2024-12-03,303.5,Debt,Title 17 DOE Loan Guarantee,Not Disclosed,Not Disclosed,Project AMAZE - 8 GWh manufacturing capacity,U.S. Department of Energy,U.S. Department of Energy,N/A,N/A,N/A,Not Disclosed,Not Disclosed,First Title 17 battery loan under current administration; $68.3M first advance Dec 2024
COMP-002,AMPX,Amprius Technologies Inc,SPAC Merger,2022-05-12,2022-09-01,Not Disclosed,Equity,Kensington Capital Acquisition Corp.,Not Disclosed,Not Disclosed,Manufacturing scale-up,Kensington Capital,Airbus Ventures; Traxys,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,De-SPAC transaction
COMP-003,QS,QuantumScape Corporation,SPAC Merger,2020-09-03,2020-11-27,700.0+,Equity,Kensington Capital Acquisition Corp.,2300.0,3300.0,R&D; Manufacturing,Kensington Capital; Fidelity; Janus,Volkswagen; Bill Gates; Continental,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,$500M PIPE + $200M from SPAC; began trading 2020-11-27
COMP-003,QS,QuantumScape Corporation,Pre-IPO Series F,2020-06-01,2020-06-01,200.0,Equity,Series F Preferred,Not Disclosed,2300.0,R&D; Pilot production,Not Disclosed,Volkswagen,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,Last private round before SPAC
COMP-005,FLNC,Fluence Energy Inc,IPO,2021-11-01,2021-11-03,Not Disclosed,Equity,Traditional IPO,Not Disclosed,Not Disclosed,Working capital; Growth,Public Markets,Siemens; AES,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,Began trading on NASDAQ
COMP-007,ENVX,Enovix Corporation,SPAC Merger,2021-02-11,2021-07-13,Not Disclosed,Equity,Rodgers Silicon Valley Acquisition Corp.,Not Disclosed,Not Disclosed,Manufacturing expansion,T.J. Rodgers,Intel Capital; Qualcomm Ventures,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,De-SPAC transaction
COMP-008,SES,SES AI Corporation,SPAC Merger,2021-02-05,2021-10-01,Not Disclosed,Equity,Ivanhoe Capital Acquisition Corp.,Not Disclosed,Not Disclosed,Manufacturing; R&D,Ivanhoe Capital,General Motors; Hyundai; Honda,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,Strategic OEM partnerships
COMP-009,MVST,Microvast Holdings Inc,SPAC Merger,2020-11-12,2021-07-27,Not Disclosed,Equity,Tuscan Holdings Corp.,Not Disclosed,Not Disclosed,Manufacturing expansion,Tuscan Holdings,General Motors (partnership),Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,De-SPAC transaction
